Street Number,Street Name,Borough,Zip Code,DOF Benchmarking Submission Status,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Primary Property Type - Self Selected,DOF Number of Buildings
2850,OCEAN PARKWAY       ,BROOKLYN            ,11235,In Compliance ,48,601.5,Multifamily Housing,1
297,LENOX ROAD          ,BROOKLYN            ,11226,In Compliance ,35,423.5,Multifamily Housing,1
1916,ALBEMARLE ROAD      ,BROOKLYN            ,11226,In Compliance ,62,601.6,Multifamily Housing,1
2520,KINGS HIGHWAY       ,BROOKLYN            ,11229,In Compliance ,1,756,Multifamily Housing,1
1466,TOWNSEND AVENUE     ,BRONX               ,10452,In Compliance ,7,572.6,Multifamily Housing,1
1113,WALTON AVENUE       ,BRONX               ,10452,In Compliance ,7,602.8,Multifamily Housing,1
1161,STRATFORD AVENUE    ,BRONX               ,10472,In Compliance ,40,492.3,Multifamily Housing,1
3055,DECATUR AVENUE      ,BRONX               ,10467,In Compliance ,59,377.8,Multifamily Housing,1
304,EAST  178 STREET    ,BRONX               ,10457,In Compliance ,9,480.9,Multifamily Housing,1
1514,WEST   11 STREET    ,BROOKLYN            ,11204,In Compliance ,68,232.9,Multifamily Housing,1
5512,  15 AVENUE         ,BROOKLYN            ,11219,In Compliance ,68,295.3,Multifamily Housing,1
1144,PELHAM PARKWAY SOUTH,BRONX               ,10461,In Compliance ,64,466.3,Multifamily Housing,1
2039,BLACKROCK AVENUE    ,BRONX               ,10472,In Compliance ,100,122.3,Multifamily Housing,1
178,OCEAN PARKWAY       ,BROOKLYN            ,11218,In Compliance ,100,96,Multifamily Housing,1
615,WESTMINSTER ROAD    ,BROOKLYN            ,11230,In Compliance ,24,323.8,Multifamily Housing,1
2222,EAST   18 STREET    ,BROOKLYN            ,11229,In Compliance ,18,344.5,Multifamily Housing,1
1425,  51 STREET         ,BROOKLYN            ,11219,In Compliance ,83,191.5,Multifamily Housing,1
707,BEVERLY ROAD        ,BROOKLYN            ,11218,In Compliance ,92,175.7,Multifamily Housing,1
    80-08,  45 AVENUE         ,QUEENS,11373,In Compliance ,83,689.6,Senior Care Community,1
5301,  14 AVENUE         ,BROOKLYN            ,11219,In Compliance ,84,430.4,K-12 School,2
    62-10,NORTHERN BOULEVARD  ,QUEENS,11377,In Compliance ,43,325.3,Retail Store,1
1440,  54 STREET         ,BROOKLYN            ,11219,In Compliance ,77,302.6,Multifamily Housing,1
557,AVENUE Z            ,BROOKLYN            ,11223,In Compliance ,74,511.9,Multifamily Housing,1
    32-36,  47 AVENUE         ,QUEENS,11101,In Compliance ,100,434.6,Office,1
1590,UNDERCLIFF AVENUE   ,BRONX               ,10453,In Compliance ,64,735.9,Multifamily Housing,1
3063,GODWIN TERRACE      ,BRONX               ,10463,In Compliance ,12,488.1,Multifamily Housing,1
374,WEST  125 STREET    ,MANHATTAN,10027,In Compliance ,79,720.3,Medical Office,1
360,AMSTERDAM AVENUE    ,MANHATTAN,10024,In Compliance ,100,103,Multifamily Housing,1
100,WEST KINGSBRIDGE RD ,BRONX               ,10468,In Compliance ,1,3155.1,Senior Care Community,3
2545,UNIVERSITY AVENUE   ,BRONX               ,10468,In Compliance ,2,1963.1,Senior Care Community,1
5905,STRICKLAND AVENUE   ,BROOKLYN            ,11234,In Compliance ,8,635.1,Multifamily Housing,1
2211,EMMONS AVENUE       ,BROOKLYN            ,11235,In Compliance ,1,726.7,Multifamily Housing,1
801,NARROWS ROAD NORTH  ,STATEN ISLAND       ,10304,In Compliance ,1,484.9,Multifamily Housing,1
237,WEST   37 STREET    ,MANHATTAN,10018,In Compliance ,91,333.9,Office,1
240,WILLOUGHBY STREET   ,BROOKLYN            ,11201,In Compliance ,87,563,Medical Office,1
117,DEKALB AVENUE       ,BROOKLYN            ,11217,In Compliance ,100,4575.6,Hospital (General Medical & Surgical),1
2435,OCEAN AVENUE        ,BROOKLYN            ,11229,In Compliance ,41,403.1,Multifamily Housing,1
442,WEST   57 STREET    ,MANHATTAN,10019,In Compliance ,73,444.1,Multifamily Housing,1
341,   5 AVENUE         ,MANHATTAN,10016,In Compliance ,82,819.4,Office,1
1436,CLAY AVENUE         ,BRONX               ,10456,In Compliance ,90,152.1,Multifamily Housing,1
1881,MORRIS AVENUE       ,BRONX               ,10453,In Compliance ,100,98.6,Multifamily Housing,1
3320,KOSSUTH AVENUE      ,BRONX               ,10467,In Compliance ,65,281,Multifamily Housing,1
1691,EAST  174 STREET    ,BRONX               ,10472,In Compliance ,98,169.4,Multifamily Housing,1
1690,EAST  174 STREET    ,BRONX               ,10472,In Compliance ,1,781,Multifamily Housing,1
1670,EAST  174 STREET    ,BRONX               ,10472,In Compliance ,96,139.3,Multifamily Housing,1
1196,EASTERN PARKWAY     ,BROOKLYN            ,11213,In Compliance ,100,75,Multifamily Housing,1
1454,GRAND CONCOURSE     ,BRONX               ,10457,In Compliance ,97,117.9,Multifamily Housing,1
2290,DAVIDSON AVENUE     ,BRONX               ,10468,In Compliance ,31,361.5,Multifamily Housing,1
1206,WESTCHESTER AVENUE  ,BRONX               ,10459,In Compliance ,100,117.7,Multifamily Housing,1
2344,DAVIDSON AVENUE     ,BRONX               ,10468,In Compliance ,11,453.6,Multifamily Housing,1
2200,MORRIS AVENUE       ,BRONX               ,10453,In Compliance ,98,156,Multifamily Housing,1
1230,EAST TREMONT AVENUE ,BRONX               ,10460,In Compliance ,5,459.5,Multifamily Housing,1
1177,WALTON AVENUE       ,BRONX               ,10452,In Compliance ,100,79.9,Multifamily Housing,1
1097,WALTON AVENUE       ,BRONX               ,10452,In Compliance ,100,53.4,Multifamily Housing,1
1453,WALTON AVENUE       ,BRONX               ,10452,In Compliance ,100,138.2,Multifamily Housing,1
3030,BRIGHTON   12 STREET,BROOKLYN            ,11235,In Compliance ,55,604.6,Multifamily Housing,1
    41-02,NORTHERN BOULEVARD  ,QUEENS,11101,In Compliance ,61,103.8,Distribution Center,1
   219-54,JAMAICA AVENUE      ,QUEENS,11428,In Compliance ,42,81.3,Distribution Center,1
    24-01,BKLYN QUEENS EXPWY  ,QUEENS,11377,In Compliance ,7,152.4,Distribution Center,1
1107,GOETHALS ROAD NORTH ,STATEN ISLAND       ,10303,In Compliance ,46,67.3,Distribution Center,1
348,PARK AVENUE         ,BROOKLYN            ,11205,In Compliance ,9,182.2,Distribution Center,1
2461,KNAPP STREET        ,BROOKLYN            ,11235,In Compliance ,12,159.7,Distribution Center,1
    49-20,VAN DAM STREET      ,QUEENS,11101,In Compliance ,56,96.9,Distribution Center,1
    32-04,NORTHERN BOULEVARD  ,QUEENS,11101,In Compliance ,38,129.4,Distribution Center,1
265,GOLD STREET         ,BROOKLYN            ,11201,In Compliance ,65,196,Distribution Center,1
4900,GLENWOOD ROAD       ,BROOKLYN            ,11234,In Compliance ,59,147.8,Distribution Center,1
357,WEST   55 STREET    ,MANHATTAN,10019,In Compliance ,40,501,Multifamily Housing,1
    45-41,  39 PLACE          ,QUEENS,11104,In Compliance ,48,383.6,Multifamily Housing,1
   140-50,BURDEN CRESCENT     ,QUEENS,11435,In Compliance ,7,433.2,Multifamily Housing,1
   111-05,  66 AVENUE         ,QUEENS,11375,In Compliance ,1,1558.5,Multifamily Housing,4
    88-30, 182 STREET         ,QUEENS,11423,In Compliance ,13,386.4,Multifamily Housing,1
    41-15,  50 AVENUE         ,QUEENS,11104,In Compliance ,36,704.4,Multifamily Housing,1
34,WHITEHALL STREET    ,MANHATTAN,10004,In Compliance ,81,5376.2,Office,1
3873,ORLOFF AVENUE       ,BRONX               ,10463,In Compliance ,35,831.7,Multifamily Housing,1
121,WEST   27 STREET    ,MANHATTAN,10001,In Compliance ,96,436.4,Office,1
19,WEST   21 STREET    ,MANHATTAN,10010,In Compliance ,94,469.3,Office,1
416,OCEAN AVENUE        ,BROOKLYN            ,11226,In Compliance ,92,495,Multifamily Housing,1
223,LENOX ROAD          ,BROOKLYN            ,11226,In Compliance ,98,263.2,Multifamily Housing,1
555,OCEAN AVENUE        ,BROOKLYN            ,11226,In Compliance ,39,678.2,Multifamily Housing,1
2214,  64 STREET         ,BROOKLYN            ,11204,In Compliance ,93,231.9,Multifamily Housing,1
1585,BROADWAY            ,MANHATTAN,10036,In Compliance ,70,13422.6,Office,1
151,WEST   30 STREET    ,MANHATTAN,10001,In Compliance ,2,1339.8,Office,1
147,WEST  230 STREET    ,BRONX               ,10463,In Compliance ,15,643.6,Multifamily Housing,1
3225,JOHNSON AVENUE      ,BRONX               ,10463,In Compliance ,81,334.5,Multifamily Housing,1
    25-98,  36 STREET         ,QUEENS,11103,In Compliance ,62,278.1,Multifamily Housing,1
315,WEST   44 STREET    ,MANHATTAN,10036,In Compliance ,59,1714.7,Office,1
    15-20, 202 STREET         ,QUEENS,11360,In Compliance ,35,538.8,Multifamily Housing,1
    43-06,  45 STREET         ,QUEENS,11104,In Compliance ,48,551,Multifamily Housing,1
   170-49,CEDARCROFT ROAD     ,QUEENS,11432,In Compliance ,15,484.1,Multifamily Housing,1
45,WEST   25 STREET    ,MANHATTAN,10010,In Compliance ,90,613.6,Other,1
27,WEST   60 STREET    ,MANHATTAN,10023,In Compliance ,99,533.6,Other,1
48,WEST   38 STREET    ,MANHATTAN,10018,In Compliance ,83,568.3,Other,1
236,   5 AVENUE         ,MANHATTAN,10001,In Compliance ,25,579.1,Office,1
235,EAST  105 STREET    ,MANHATTAN,10029,In Compliance ,70,237.8,Multifamily Housing,1
253,WEST   24 STREET    ,MANHATTAN,10011,In Compliance ,100,362.5,Residence Hall/Dormitory,1
    74-16,GRAND AVENUE        ,QUEENS,11373,In Compliance ,91,52.6,Non-Refrigerated Warehouse,1
325,EAST   79 STREET    ,MANHATTAN,10075,In Compliance ,86,493.6,Multifamily Housing,1
1155,BROADWAY            ,MANHATTAN,10001,In Compliance ,47,233.1,Hotel,1
    18-22,  21 AVENUE         ,QUEENS,11105,In Compliance ,98,418.5,Multifamily Housing,4
304,EAST   12 STREET    ,MANHATTAN,10003,In Compliance ,89,221.3,Multifamily Housing,2
177,   8 AVENUE         ,MANHATTAN,10011,In Compliance ,20,664.3,Multifamily Housing,1
33,WEST   37 STREET    ,MANHATTAN,10018,In Compliance ,46,669.1,Hotel,1
234,WEST   48 STREET    ,MANHATTAN,10036,In Compliance ,39,1548.9,Hotel,1
1534,SELWYN AVENUE       ,BRONX               ,10457,In Compliance ,23,737.5,Multifamily Housing,1
1487,SCHENECTADY AVENUE  ,BROOKLYN            ,11203,In Compliance ,93,297.4,Distribution Center,1
244,FIELDSTON TERRACE   ,BRONX               ,10471,In Compliance ,2,1284.5,Multifamily Housing,1
1697,BROADWAY            ,MANHATTAN,10019,In Compliance ,51,801.5,Office,1
    43-05,  44 STREET         ,QUEENS,11104,In Compliance ,1,753.8,Multifamily Housing,1
186,PINEHURST AVENUE    ,MANHATTAN,10033,In Compliance ,53,526.8,Multifamily Housing,1
    33-26,VERNON BOULEVARD    ,QUEENS,11106,In Compliance ,19,1660.3,Retail Store,2
2975,RICHMOND AVENUE     ,STATEN ISLAND       ,10314,In Compliance ,6,2254.3,Retail Store,1
3077,CROSS BRONX EP SR N ,BRONX               ,10465,In Compliance ,43,472.4,Senior Care Community,1
    71-40, 112 STREET         ,QUEENS,11375,In Compliance ,70,301.2,Multifamily Housing,1
3951,GOUVERNEUR AVENUE   ,BRONX               ,10463,In Compliance ,67,548.5,Multifamily Housing,1
145,EAST   50 STREET    ,MANHATTAN,10022,In Compliance ,47,1365.4,Hotel,1
2710,MORRIS AVENUE       ,BRONX               ,10468,In Compliance ,87,673.9,Multifamily Housing,1
950,WEST FINGERBOARD RD ,STATEN ISLAND       ,10304,In Compliance ,2,1784.2,Office,1
132,EAST   45 STREET    ,MANHATTAN,10017,In Compliance ,1,940.6,Multifamily Housing,1
    68-37, 108 STREET         ,QUEENS,11375,In Compliance ,57,338.4,Multifamily Housing,1
    59-29,QUEENS BOULEVARD    ,QUEENS,11377,In Compliance ,67,452.5,Multifamily Housing,1
859,   7 AVENUE         ,MANHATTAN,10019,In Compliance ,24,3549.9,Hotel,1
541,BROADWAY            ,BROOKLYN            ,11206,In Compliance ,72,311.1,Office,1
1245,GRANDVIEW PLACE     ,BRONX               ,10452,In Compliance ,100,78.5,Multifamily Housing,1
9,COLLEGE PLACE       ,BROOKLYN            ,11201,In Compliance ,9,569.1,Multifamily Housing,1
906,WORTMAN AVENUE      ,BROOKLYN            ,11208,In Compliance ,100,28.4,Distribution Center,1
84,WOOSTER STREET      ,MANHATTAN,10012,In Compliance ,92,383.9,Office,1
515,OVINGTON AVENUE     ,BROOKLYN            ,11209,In Compliance ,84,325.3,Multifamily Housing,1
9707,   4 AVENUE         ,BROOKLYN            ,11209,In Compliance ,70,584.3,Multifamily Housing,1
    18-19,FLUSHING AVENUE     ,QUEENS,11385,In Compliance ,1,446.2,Distribution Center,1
1818,AVENUE L            ,BROOKLYN            ,11230,In Compliance ,100,6.3,Multifamily Housing,1
3180,EMMONS AVENUE       ,BROOKLYN            ,11235,In Compliance ,92,541.4,Senior Care Community,1
500,OCEAN AVENUE        ,BROOKLYN            ,11226,In Compliance ,16,558.2,Multifamily Housing,1
315,BERRY STREET        ,BROOKLYN            ,11249,In Compliance ,91,316,Multifamily Housing,1
    35-15,PARSONS BOULEVARD   ,QUEENS,11354,In Compliance ,71,685.5,Senior Care Community,1
1269,GRAND CONCOURSE     ,BRONX               ,10452,In Compliance ,10,611.8,Multifamily Housing,1
2545,VALENTINE AVENUE    ,BRONX               ,10458,In Compliance ,37,575.9,Multifamily Housing,1
1212,GRANT AVENUE        ,BRONX               ,10456,In Compliance ,74,390.5,Multifamily Housing,1
2285,SEDGWICK AVENUE     ,BRONX               ,10468,In Compliance ,54,351.2,Multifamily Housing,1
580,FLATBUSH AVENUE     ,BROOKLYN            ,11225,In Compliance ,49,1322.9,Multifamily Housing,1
214,WEST   14 STREET    ,MANHATTAN,10011,In Compliance ,86,292.1,Office,1
608,WEST  150 STREET    ,MANHATTAN,10031,In Compliance ,100,25.6,Multifamily Housing,1
590,FLATBUSH AVENUE     ,BROOKLYN            ,11225,In Compliance ,59,1590,Multifamily Housing,1
54,BOERUM STREET       ,BROOKLYN            ,11206,In Compliance ,13,2811.5,Multifamily Housing,2
29,LEONARD STREET      ,BROOKLYN            ,11206,In Compliance ,16,2719.3,Multifamily Housing,2
91,BOERUM STREET       ,BROOKLYN            ,11206,In Compliance ,16,2746.5,Multifamily Housing,1
30,MONTROSE AVENUE     ,BROOKLYN            ,11206,In Compliance ,13,2799.8,Multifamily Housing,2
570,LEFFERTS AVENUE     ,BROOKLYN            ,11203,In Compliance ,52,298.7,Multifamily Housing,1
3857,KINGS HIGHWAY       ,BROOKLYN            ,11234,In Compliance ,21,544.5,Multifamily Housing,1
777,EAST   31 STREET    ,BROOKLYN            ,11210,In Compliance ,66,630.3,Multifamily Housing,1
140,CLARKSON AVENUE     ,BROOKLYN            ,11226,In Compliance ,78,333.1,Multifamily Housing,1
556,LEFFERTS AVENUE     ,BROOKLYN            ,11203,In Compliance ,78,277.6,Multifamily Housing,1
850,HYLAN BOULEVARD     ,STATEN ISLAND       ,10305,In Compliance ,89,366.4,K-12 School,1
2360,BROADWAY            ,MANHATTAN,10024,In Compliance ,63,2519.6,Multifamily Housing,1
100,IMLAY STREET        ,BROOKLYN            ,11231,In Compliance ,12,844.1,Non-Refrigerated Warehouse,1
    47-20,  40 STREET         ,QUEENS,11104,In Compliance ,76,253.4,Multifamily Housing,1
43,EAST   30 STREET    ,MANHATTAN,10016,In Compliance ,58,313.6,Multifamily Housing,1
305,WEST END AVENUE     ,MANHATTAN,10023,In Compliance ,22,1096,Senior Care Community,1
514,WEST   49 STREET    ,MANHATTAN,10019,In Compliance ,38,874.7,Office,2
777,FOX STREET          ,BRONX               ,10455,In Compliance ,26,342,Multifamily Housing,1
1425,GRAND CONCOURSE     ,BRONX               ,10452,In Compliance ,3,461.2,Multifamily Housing,1
225,EAST   72 STREET    ,MANHATTAN,10021,In Compliance ,1,487756.5,Residence Hall/Dormitory,1
5301,   1 AVENUE         ,BROOKLYN            ,11220,In Compliance ,99,29.1,Non-Refrigerated Warehouse,1
1102,CONEY ISLAND AVENUE ,BROOKLYN            ,11230,In Compliance ,100,104.7,Office,1
999,PELHAM PARKWAY NORTH,BRONX               ,10469,In Compliance ,1,1916.2,K-12 School,1
333,HUDSON STREET       ,MANHATTAN,10013,In Compliance ,52,737.2,Office,1
974,WARING AVENUE       ,BRONX               ,10469,In Compliance ,54,278.4,K-12 School,1
39,HALL STREET         ,BROOKLYN            ,11205,In Compliance ,77,197.7,Office,1
157,WALLABOUT STREET    ,BROOKLYN            ,11206,In Compliance ,100,282.6,Multifamily Housing,1
2130,WILLIAMSBRIDGE ROAD ,BRONX               ,10461,In Compliance ,66,455.7,Multifamily Housing,1
   152-01,  88 AVENUE         ,QUEENS,11432,In Compliance ,81,405.2,Multifamily Housing,2
410,EAST   25 STREET    ,BROOKLYN            ,11226,In Compliance ,47,354.2,Multifamily Housing,1
565,  85 STREET         ,BROOKLYN            ,11209,In Compliance ,78,265.8,Multifamily Housing,1
    55-05,WOODSIDE AVENUE     ,QUEENS,11377,In Compliance ,100,189.9,Multifamily Housing,1
1185,GRAND CONCOURSE     ,BRONX               ,10452,In Compliance ,25,523.1,Multifamily Housing,1
   224-06,SPRINGFIELD BLVD    ,QUEENS,11364,In Compliance ,11,1040,Multifamily Housing,6
   224-01,SPRINGFIELD BLVD    ,QUEENS,11364,In Compliance ,13,1028.2,Multifamily Housing,8
275,CASTLETON AVENUE    ,STATEN ISLAND       ,10301,In Compliance ,30,937.6,Senior Care Community,1
291,BROADWAY            ,MANHATTAN,10007,In Compliance ,59,1105.1,Office,1
    78-14,CLOVERDALE BOULEVARD,QUEENS              ,11364,In Compliance ,77,1006.2,Multifamily Housing,11
8313,BAY PARKWAY         ,BROOKLYN            ,11214,In Compliance ,71,309.9,Multifamily Housing,1
580,BROADWAY            ,MANHATTAN,10012,In Compliance ,91,720.8,Office,1
170,WEST KINGSBRIDGE RD ,BRONX               ,10463,In Compliance ,31,577.2,Multifamily Housing,1
248,WEST   35 STREET    ,MANHATTAN,10001,In Compliance ,89,623.2,Office,1
    19-19,  24 AVENUE         ,QUEENS,11102,In Compliance ,99,573.5,Multifamily Housing,2
    47-50,  59 STREET         ,QUEENS,11377,In Compliance ,90,1143.1,Multifamily Housing,2
   140-37,ASH AVENUE          ,QUEENS,11355,In Compliance ,29,982.6,Multifamily Housing,1
230,KINGSTON AVENUE     ,BROOKLYN            ,11213,In Compliance ,44,764.4,Multifamily Housing,1
     4-31,BEACH   20 STREET   ,QUEENS,11691,In Compliance ,94,481.3,Senior Care Community,1
2703,WEBB AVENUE         ,BRONX               ,10468,In Compliance ,62,402.2,Multifamily Housing,1
3339,PARK AVENUE         ,BRONX               ,10456,In Compliance ,28,454.7,Residence Hall/Dormitory,1
346,WEST   51 STREET    ,MANHATTAN,10019,In Compliance ,35,958.9,Multifamily Housing,1
   133-31,  39 AVENUE         ,QUEENS,11354,In Compliance ,56,979.3,Retail Store,1
325,EAST  176 STREET    ,BRONX               ,10457,In Compliance ,52,374.5,Multifamily Housing,1
273,EAST  239 STREET    ,BRONX               ,10470,In Compliance ,69,232,Multifamily Housing,1
1921,AVENUE K            ,BROOKLYN            ,11230,In Compliance ,53,331.2,Multifamily Housing,1
902,DREW STREET         ,BROOKLYN            ,11208,In Compliance ,79,2286.7,Multifamily Housing,1
437,LEXINGTON AVENUE    ,MANHATTAN,10017,In Compliance ,7,1077.5,Office,1
860,BROADWAY            ,MANHATTAN,10003,In Compliance ,44,367.7,Office,1
382,WILLOUGHBY AVENUE   ,BROOKLYN            ,11205,In Compliance ,95,258.5,Multifamily Housing,1
203,EAST   86 STREET    ,MANHATTAN,10028,In Compliance ,7,2002.6,Multifamily Housing,1
842,   5 AVENUE         ,MANHATTAN,10065,In Compliance ,84,655.2,Office,1
8,EAST   66 STREET    ,MANHATTAN,10065,In Compliance ,76,283.1,K-12 School,1
2200,TIEBOUT AVENUE      ,BRONX               ,10457,In Compliance ,30,655.1,Multifamily Housing,1
2435,CRESTON AVENUE      ,BRONX               ,10468,In Compliance ,29,765.1,Multifamily Housing,1
2280,LORING PLACE NORTH  ,BRONX               ,10468,In Compliance ,12,711.8,Multifamily Housing,1
2200,CRESTON AVENUE      ,BRONX               ,10453,In Compliance ,22,760,Multifamily Housing,1
660,NEREID AVENUE       ,BRONX               ,10470,In Compliance ,52,720.8,Multifamily Housing,1
56,   2 AVENUE         ,BROOKLYN            ,11215,In Compliance ,91,496.9,Non-Refrigerated Warehouse,1
534,GLENMORE AVENUE     ,BROOKLYN            ,11207,In Compliance ,9,110.1,Worship Facility,1
454,WEST   46 STREET    ,MANHATTAN,10036,In Compliance ,30,332,Multifamily Housing,1
1862,EAST   14 STREET    ,BROOKLYN            ,11229,In Compliance ,51,281.1,Multifamily Housing,1
    53-06,GRAND AVENUE        ,QUEENS,11378,In Compliance ,57,246.9,Non-Refrigerated Warehouse,1
425,WEST  205 STREET    ,MANHATTAN,10034,In Compliance ,68,564.5,Multifamily Housing,1
261,EAST KINGSBRIDGE RD ,BRONX               ,10458,In Compliance ,4,611.2,Multifamily Housing,1
106,EAST   38 STREET    ,MANHATTAN,10016,In Compliance ,3,1291.1,Multifamily Housing,1
1081,   3 AVENUE         ,MANHATTAN,10065,In Compliance ,1,1971.1,Multifamily Housing,1
35,WEST   35 STREET    ,MANHATTAN,10018,In Compliance ,70,479.1,Office,1
601,WEST   50 STREET    ,MANHATTAN,10019,In Compliance ,74,819.9,Office,1
500,   4 AVENUE         ,BROOKLYN            ,11215,In Compliance ,22,817.8,Multifamily Housing,1
260,WEST   39 STREET    ,MANHATTAN,10018,In Compliance ,90,843,Office,1
259,WEST   30 STREET    ,MANHATTAN,10001,In Compliance ,74,613.8,Office,1
570,WESTMINSTER ROAD    ,BROOKLYN            ,11230,In Compliance ,77,995.6,Multifamily Housing,1
2263,  84 STREET         ,BROOKLYN            ,11214,In Compliance ,57,297.7,Multifamily Housing,1
3133,BRIGHTON    7 STREET,BROOKLYN            ,11235,In Compliance ,79,316.1,Multifamily Housing,1
    5603A,UTOPIA PARKWAY      ,QUEENS,11365,In Compliance ,31,414.7,Multifamily Housing,100
   175-32,  56 AVENUE         ,QUEENS,11365,In Compliance ,14,439,Multifamily Housing,100
   175-10,  56 AVENUE         ,QUEENS,11365,In Compliance ,54,178.9,Multifamily Housing,100
135,WEST   29 STREET    ,MANHATTAN,10001,In Compliance ,96,256.2,Office,1
66,ST PAULS PLACE      ,BROOKLYN            ,11226,In Compliance ,74,298,Multifamily Housing,1
240,EAST   38 STREET    ,MANHATTAN,10016,In Compliance ,45,16461.2,Medical Office,1
240,BLEECKER STREET     ,MANHATTAN,10014,In Compliance ,38,242.8,K-12 School,1
117,WEST   91 STREET    ,MANHATTAN,10024,In Compliance ,70,395.7,K-12 School,1
105,CLARKE PLACE EAST   ,BRONX               ,10452,In Compliance ,26,479.9,Multifamily Housing,1
1930,GRAND CONCOURSE     ,BRONX               ,10457,In Compliance ,3,519.7,Multifamily Housing,1
1030,NELSON AVENUE       ,BRONX               ,10452,In Compliance ,94,277,Multifamily Housing,1
7,HANOVER SQUARE      ,MANHATTAN,10004,In Compliance ,78,4680.3,Office,1
365,WEST END AVENUE     ,MANHATTAN,10024,In Compliance ,60,1014.8,Multifamily Housing,1
583,WEST  215 STREET    ,MANHATTAN,10034,In Compliance ,75,525.3,Multifamily Housing,1
140,BEACH  114 STREET   ,QUEENS,11694,In Compliance ,6,833.3,Senior Care Community,1
    29-15, 216 STREET         ,QUEENS,11360,In Compliance ,68,2390,Hospital (General Medical & Surgical),1
600,WEST  239 STREET    ,BRONX               ,10463,In Compliance ,65,535.4,Multifamily Housing,1
1950,CLOVE ROAD          ,STATEN ISLAND       ,10304,In Compliance ,96,856,Multifamily Housing,1
226,WEST   37 STREET    ,MANHATTAN,10018,In Compliance ,52,320.5,Non-Refrigerated Warehouse,1
213,GEORGIA AVENUE      ,BROOKLYN            ,11207,In Compliance ,86,109.9,Non-Refrigerated Warehouse,1
675,ZEREGA AVENUE       ,BRONX               ,10473,In Compliance ,74,340.7,Non-Refrigerated Warehouse,1
2016,PITKIN AVENUE       ,BROOKLYN            ,11207,In Compliance ,1,614.1,Non-Refrigerated Warehouse,1
679,MAGENTA STREET      ,BRONX               ,10467,In Compliance ,100,59.3,Multifamily Housing,1
503,WEST  259 STREET    ,BRONX               ,10471,In Compliance ,4,655.3,K-12 School,1
218,MYRTLE AVENUE       ,BROOKLYN            ,11201,In Compliance ,2,831.4,Multifamily Housing,1
175,EAST  151 STREET    ,BRONX               ,10451,In Compliance ,13,1090.9,Multifamily Housing,1
    91-30,VAN WYCK EXPWY SR W ,QUEENS,11418,In Compliance ,71,167.4,Non-Refrigerated Warehouse,1
    56-25,  92 STREET         ,QUEENS,11373,In Compliance ,100,179.2,K-12 School,1
653,HICKS STREET        ,BROOKLYN            ,11231,In Compliance ,41,255.6,Multifamily Housing,1
2770,BRIGGS AVENUE       ,BRONX               ,10458,In Compliance ,80,371.4,Multifamily Housing,1
606,WEST  142 STREET    ,MANHATTAN,10031,In Compliance ,85,420.7,Multifamily Housing,1
    42-31,COLDEN STREET       ,QUEENS,11355,In Compliance ,28,615.1,Multifamily Housing,1
    36-25,UNION STREET        ,QUEENS,11354,In Compliance ,65,430.2,Multifamily Housing,1
   138-15,FRANKLIN AVENUE     ,QUEENS,11355,In Compliance ,42,1511.4,Multifamily Housing,1
829,GREENWOOD AVENUE    ,BROOKLYN            ,11218,In Compliance ,21,628,Multifamily Housing,1
654,WEST  161 STREET    ,MANHATTAN,10032,In Compliance ,21,615.6,Multifamily Housing,1
5025,BROADWAY            ,MANHATTAN,10034,In Compliance ,22,566.7,Multifamily Housing,1
   149-35,NORTHERN BOULEVARD  ,QUEENS,11354,In Compliance ,55,993.3,Multifamily Housing,1
   109-05, 178 STREET         ,QUEENS,11433,In Compliance ,74,55,Non-Refrigerated Warehouse,1
1601,BRONXDALE AVENUE    ,BRONX               ,10462,In Compliance ,47,1136,Non-Refrigerated Warehouse,1
2275,OLINVILLE AVENUE    ,BRONX               ,10467,In Compliance ,57,343.6,Multifamily Housing,1
2505,BARKER AVENUE       ,BRONX               ,10467,In Compliance ,59,402.3,Multifamily Housing,1
    52-30,  39 DRIVE          ,QUEENS,11377,In Compliance ,37,2708.9,Multifamily Housing,2
,BARKER AVENUE       ,BRONX               ,10467,In Compliance ,45,522,Multifamily Housing,1
420,EAST   86 STREET    ,MANHATTAN,10028,In Compliance ,74,303.5,Multifamily Housing,1
305,WEST   42 STREET    ,MANHATTAN,10036,In Compliance ,8,893.3,Office,1
375,GREENWICH STREET    ,MANHATTAN,10013,In Compliance ,2,814.8,Other,1
97,CLAREMONT AVENUE    ,MANHATTAN,10027,In Compliance ,100,101.8,Residence Hall/Dormitory,1
202,WEST   58 STREET    ,MANHATTAN,10019,In Compliance ,59,387.7,K-12 School,1
2973,INDEPENDENCE AVENUE ,BRONX               ,10463,In Compliance ,80,840.2,Multifamily Housing,1
508,WEST   55 STREET    ,MANHATTAN,10019,In Compliance ,70,281.5,Multifamily Housing,1
930,SOUNDVIEW AVENUE    ,BRONX               ,10473,In Compliance ,42,488.2,Office,1
    65-41,BOOTH STREET        ,QUEENS,11374,In Compliance ,98,269.6,Multifamily Housing,1
721,WALTON AVENUE       ,BRONX               ,10451,In Compliance ,23,783,Multifamily Housing,1
731,GERARD AVENUE       ,BRONX               ,10451,In Compliance ,30,532.4,Multifamily Housing,1
735,WALTON AVENUE       ,BRONX               ,10451,In Compliance ,12,814.1,Multifamily Housing,1
